categoria;nombre;descripcion;precio;;;;;;;;;;;;;;;;;;;;;;
Identificadores de mascotas;Identificador mascota - CHICO;"Mirá las imagenes, elegí el modelo y color. Al finalizar confirmar el carrito te pediremos esa info.  (cosultar imagen de colores disponibles)
Demora de fabricación entre 3 a 5 días hábiles ";3000;;;;;;;;;;;;;;;;;;;;;;
Identificadores de mascotas;Identificador mascota - MEDIANO;"Mirá las imagenes, elegí el modelo y color. Al finalizar confirmar el carrito te pediremos esa info.  (cosultar imagen de colores disponibles)
Demora de fabricación entre 3 a 5 días hábiles ";3500;;;;;;;;;;;;;;;;;;;;;;
Identificadores de mascotas;Identificador mascota - GRANDE;"Mirá las imagenes, elegí el modelo y color. Al finalizar confirmar el carrito te pediremos esa info.  (cosultar imagen de colores disponibles)
Demora de fabricación entre 3 a 5 días hábiles ";5000;;;;;;;;;;;;;;;;;;;;;;
Identificadores de mascotas;Identificador tipo pasador ;"Elegí el color y medí el ancho de la correa del collar. Al finalizar confirmar el carrito te pediremos esa info. (cosultar imagen de colores disponibles)
Demora de fabricación entre 3 a 5 días hábiles ";5000;;;;;;;;;;;;;;;;;;;;;;
Llaveros;Llavero Escolar;"Llavero de base rectangular. Personalizalo con nombre y apellido, o solo nombre. Elegi la combinacion de colores que mas te guste (cosultar imagen de colores disponibles)
Demora de fabricación entre 3 a 5 días hábiles ";2500;;;;;;;;;;;;;;;;;;;;;;
Llaveros;Llavero Escolar Promo x 2;"PROMO X 2 Llavero de base rectangular. Personalizalo con nombre y apellido, o solo nombre. Elegi la combinacion de colores que mas te guste (cosultar imagen de colores disponibles)
Demora de fabricación entre 3 a 5 días hábiles ";4500;;;;;;;;;;;;;;;;;;;;;;
Llaveros;Llavero simple;"Consulta modelos disponibles
Demora de fabricación entre 3 a 5 días hábiles ";2500;;;;;;;;;;;;;;;;;;;;;;
Llaveros;Promo x2 llaveros simples;"Consulta modelos disponibles
Demora de fabricación entre 3 a 5 días hábiles ";4000;;;;;;;;;;;;;;;;;;;;;;
Llaveros;Llavero giratorio;"Consulta modelos disponibles
Demora de fabricación entre 3 a 5 días hábiles ";3500;;;;;;;;;;;;;;;;;;;;;;
Llaveros;Llavero San Javier  - Estatua Indio;"Recuerdo de San Javier
Demora de fabricación entre 3 a 5 días hábiles ";3500;;;;;;;;;;;;;;;;;;;;;;
Llaveros;Llavero San Javier;"Recuerdo de San Javier
Demora de fabricación entre 3 a 5 días hábiles ";2000;;;;;;;;;;;;;;;;;;;;;;
Llaveros;Abre garrafa ;"A vos tambien te pasa que no podes sacar el tapón del gas? Ruwaq te trae la solución!
Demora de fabricación entre 3 a 5 días hábiles ";5000;;;;;;;;;;;;;;;;;;;;;;
Llaveros;Llavero - defensa personal ;"Ideal para caminar por las calles con confianza y seguridad! Elegí el modelo y tamaño que qieras (consultar imagen colores disponibles)
Demora de fabricación entre 3 a 5 días hábiles ";6500;;;;;;;;;;;;;;;;;;;;;;
